Director (1),AVERAGE of Box Office Revenue ($),AVERAGE of Budget ($),Average Profit
Matt Bettinelli-Olpin,"$36,900,000.00","$7,000,000.00","$29,900,000.00"
Julie Anne Robinson,"$36,900,000.00","$40,000,000.00","-$3,100,000.00"
Alex Garland,"$36,900,000.00","$15,000,000.00","$21,900,000.00"
John Wells,"$36,600,000.00","$20,000,000.00","$16,600,000.00"
Anton Corbijn,"$36,200,000.00","$15,000,000.00","$21,200,000.00"
Lenny Abrahamson,"$36,000,000.00","$13,000,000.00","$23,000,000.00"
Ken Kwapis,"$36,000,000.00","$8,000,000.00","$28,000,000.00"
Joshua Michael Stern,"$35,900,000.00","$12,000,000.00","$23,900,000.00"
Roger Donaldson,"$34,800,000.00","$15,000,000.00","$19,800,000.00"
Rob Cohen,"$34,600,000.00","$35,000,000.00","-$400,000.00"
Paul McGuigan,"$34,200,000.00","$40,000,000.00","-$5,800,000.00"
Tate Taylor,"$33,400,000.00","$30,000,000.00","$3,400,000.00"
Stephen Chbosky,"$33,400,000.00","$13,000,000.00","$20,400,000.00"
Dean Israelite,"$33,200,000.00","$12,000,000.00","$21,200,000.00"
Gavin Hood,"$32,800,000.00","$13,000,000.00","$19,800,000.00"
James Mather,"$32,200,000.00","$20,000,000.00","$12,200,000.00"
Billy Ray,"$32,200,000.00","$19,500,000.00","$12,700,000.00"
Sarah Gavron,"$32,000,000.00","$14,000,000.00","$18,000,000.00"
Stephen Frears,"$31,700,000.00","$19,000,000.00","$12,700,000.00"
Akiva Goldsman,"$31,100,000.00","$60,000,000.00","-$28,900,000.00"
Russell Crowe,"$30,800,000.00","$22,500,000.00","$8,300,000.00"
Thomas Carter,"$30,100,000.00","$15,000,000.00","$15,100,000.00"
John Erick Dowdle,"$29,700,000.00","$5,000,000.00","$24,700,000.00"
James McTeigue,"$29,700,000.00","$26,000,000.00","$3,700,000.00"
Ivan Reitman,"$29,500,000.00","$25,000,000.00","$4,500,000.00"
Danny Boyle,"$29,350,000.00","$25,000,000.00","$4,350,000.00"
Paul Thomas Anderson,"$28,300,000.00","$32,000,000.00","-$3,700,000.00"
Vic Armstrong,"$27,600,000.00","$16,000,000.00","$11,600,000.00"
Travis Knight,"$27,600,000.00","$60,000,000.00","-$32,400,000.00"
Don Scardino,"$27,400,000.00","$34,000,000.00","-$6,600,000.00"
Adam Wingard,"$26,800,000.00","$1,000,000.00","$25,800,000.00"
Scott Charles Stewart,"$26,400,000.00","$3,500,000.00","$22,900,000.00"
Cameron Crowe,"$26,300,000.00","$52,000,000.00","-$25,700,000.00"
Chris Rock,"$26,100,000.00","$12,000,000.00","$14,100,000.00"
Tyler Perry,"$25,950,000.00","$11,000,000.00","$14,950,000.00"
Nicole Holofcener,"$25,300,000.00","$8,000,000.00","$17,300,000.00"
Glenn Ficarra,"$24,900,000.00","$35,000,000.00","-$10,100,000.00"
Pierre Morel,"$24,200,000.00","$40,000,000.00","-$15,800,000.00"
David Wain,"$24,200,000.00","$35,000,000.00","-$10,800,000.00"
Stephen Hopkins,"$23,500,000.00","$5,000,000.00","$18,500,000.00"
John Hillcoat,"$23,400,000.00","$20,000,000.00","$3,400,000.00"
Brad Furman,"$22,600,000.00","$38,750,000.00","-$16,150,000.00"
Joel and Ethan Coen,"$22,000,000.00","$22,000,000.00",$0.00
Brian Robbins,"$22,000,000.00","$40,000,000.00","-$18,000,000.00"
Asif Kapadia,"$22,000,000.00","$3,400,000.00","$18,600,000.00"
Walter Hill,"$21,900,000.00","$55,000,000.00","-$33,100,000.00"
Benh Zeitlin,"$21,900,000.00","$1,800,000.00","$20,100,000.00"
Peter Atencio,"$20,700,000.00","$15,000,000.00","$5,700,000.00"
RZA,"$20,300,000.00","$20,000,000.00","$300,000.00"
Ariel Vromen,"$20,000,000.00","$20,750,000.00","-$750,000.00"
Michael Mann,"$19,700,000.00","$70,000,000.00","-$50,300,000.00"
Jeff Nichols,"$19,400,000.00","$14,000,000.00","$5,400,000.00"
Sofia Coppola,"$19,100,000.00","$8,000,000.00","$11,100,000.00"
Michaël R. Roskam,"$18,700,000.00","$12,600,000.00","$6,100,000.00"
Niels Arden Oplev,"$18,100,000.00","$30,000,000.00","-$11,900,000.00"
Alejandro Gómez Monteverde,"$17,500,000.00","$20,000,000.00","-$2,500,000.00"
Ghaz Abu Bakar,"$17,300,000.00","$2,400,000.00","$14,900,000.00"
Mabrouk El Mechri,"$16,900,000.00","$20,000,000.00","-$3,100,000.00"
Benson Lee,"$16,500,000.00","$20,000,000.00","-$3,500,000.00"
Burr Steers,"$16,400,000.00","$28,000,000.00","-$11,600,000.00"
Mark Waters,"$15,400,000.00","$30,000,000.00","-$14,600,000.00"
Rowan Joffé,"$15,100,000.00","$22,000,000.00","-$6,900,000.00"
Ed Gass-Donnelly,"$15,100,000.00","$5,000,000.00","$10,100,000.00"
Gina Prince-Bythewood,"$14,600,000.00","$7,000,000.00","$7,600,000.00"
Dax Shepard,"$14,500,000.00","$2,000,000.00","$12,500,000.00"
